19
3,4,667,409,5,972,161,5,336,296
4,4,683,366,5,310,287,5,919,119,5,315,59
5,4,641,418,5,617,139,5,384,324,5,1034,210,5,1163,374
5,4,672,386,5,344,300,5,511,105,5,1092,260,4,593,330
5,5,1009,188,4,667,403,5,635,140,4,595,327,5,409,339
5,5,377,314,4,669,368,5,303,57,5,958,154,5,806,499
1,5,814,301
5,4,688,358,5,628,316,5,606,243,5,785,354,5,954,19
5,5,164,105,5,423,88,5,760,143,5,991,452,5,760,287
5,4,658,431,5,605,163,5,372,332,5,1130,393,5,954,47
5,4,632,409,4,688,323,5,1120,360,5,949,260,5,924,437
5,4,678,403,5,605,396,4,592,336,5,666,434,5,490,381
5,5,365,305,5,1012,187,4,689,352,5,588,329,4,633,416
4,5,406,333,4,685,360,5,962,155,5,412,61
3,5,591,328,4,637,415,5,581,125
5,5,587,324,4,642,406,5,403,334,5,996,176,5,407,63
5,4,662,377,5,395,331,5,783,156,5,1029,207,5,403,73
4,4,643,358,5,354,307,5,724,187,5,160,217
5,4,637,414,5,724,490,5,980,478,5,970,161,5,281,78
