12
3,5,131,119,5,242,161,5,328,117
5,4,1229,329,5,1205,523,5,741,467,5,792,125,5,254,290
5,4,586,619,4,1225,330,5,396,370,5,27,96,5,94,226
5,5,837,238,5,776,283,5,552,208,5,415,264,5,607,605
5,5,1225,328,5,829,243,5,440,119,5,578,618,5,144,465
5,5,845,224,5,264,356,4,576,614,4,1213,312,5,1212,447
5,5,880,84,5,609,604,4,1227,334,5,289,447,5,148,473
4,5,825,266,5,692,292,5,520,187,4,591,617
2,4,584,602,5,741,473
4,5,606,600,5,659,388,5,1224,322,5,1047,116
3,4,1225,328,5,788,344,5,606,597
5,5,672,202,5,607,612,5,404,377,4,1224,332,5,263,318
