18
4,4,14,444,5,173,156,5,484,249,5,719,494
5,4,46,445,5,658,496,5,883,39,5,1016,348,5,474,208
5,5,302,152,5,215,90,5,1169,46,5,877,50,5,204,327
5,5,923,178,5,872,74,5,975,91,5,824,274,5,699,225
4,5,980,91,5,503,166,4,19,452,5,153,260
5,5,115,248,5,520,149,5,220,87,5,462,484,5,210,332
3,5,463,485,5,460,277,5,842,35
4,5,497,222,5,664,497,4,23,436,5,88,282
5,5,367,442,5,643,499,4,28,451,5,67,75,5,161,177
4,5,220,106,5,478,202,5,133,211,5,874,65
5,5,466,272,5,305,151,5,151,189,5,883,58,5,1161,53
5,4,44,444,5,151,260,5,206,325,5,301,147,5,216,92
5,5,676,498,5,465,223,4,44,451,5,1166,50,5,921,177
5,5,768,499,5,303,149,5,884,40,5,156,181,5,64,79
5,5,764,498,4,10,451,4,50,445,5,82,297,5,66,78
4,5,223,85,5,640,494,5,495,175,5,888,47
5,5,567,492,5,481,191,4,45,445,4,11,444,5,917,166
5,5,300,148,5,524,489,4,48,447,5,60,87,5,161,173
