18
1,4,1136,379
4,5,1025,225,4,1150,381,5,862,153,5,132,240
3,5,1015,179,5,1155,372,5,1155,571
1,5,274,283
5,4,1153,381,5,1059,253,5,862,149,5,64,287,5,86,312
5,5,948,565,5,712,413,5,710,428,5,497,373,5,540,362
4,5,810,85,4,1168,364,5,144,255,5,409,68
2,4,1159,384,5,130,246
2,5,1003,167,4,1157,374
3,4,1157,377,5,977,136,5,1117,514
2,5,1014,263,4,1144,388
2,4,1167,365,5,1059,256
2,4,1167,373,5,1075,388
2,5,987,147,4,1150,368
2,5,1157,375,5,1045,233
3,4,1151,387,5,1105,477,5,1086,291
1,5,1121,347
4,5,1157,388,5,914,90,5,374,67,5,136,236
