15
4,5,366,295,5,834,311,4,1116,601,5,44,190
5,5,74,585,4,1108,602,5,1224,150,5,368,455,5,425,512
4,5,394,190,5,487,531,5,470,611,4,1104,607
5,5,427,515,5,371,443,4,1103,596,4,1126,610,5,1045,454
5,5,440,455,5,76,583,5,362,453,4,1107,596,5,1224,153
3,5,77,582,5,371,451,4,1109,601
3,5,349,293,5,810,329,4,1120,605
5,5,692,378,4,1111,602,5,400,213,5,49,199,5,368,456
3,5,428,508,4,1092,595,5,1227,143
4,5,371,448,4,1107,597,5,55,197,5,76,573
1,5,420,518
3,5,344,308,5,760,334,4,1126,611
3,5,363,295,5,756,339,4,1139,616
3,4,1122,611,5,790,328,5,399,200
3,4,1122,608,5,400,214,5,839,304
