19
3,5,782,326,4,551,528,5,1066,241
2,4,557,526,5,928,470
1,5,556,524
5,4,562,529,5,969,491,5,1080,147,5,724,47,5,100,472
4,5,762,294,5,1083,203,4,559,522,5,715,51
4,5,468,53,5,68,375,4,560,524,5,934,460
4,5,898,413,5,1073,263,5,725,24,4,559,518
2,5,873,397,5,556,527
4,5,557,524,5,1065,257,5,741,293,5,80,418
5,5,1088,143,5,714,48,4,558,524,5,45,100,5,62,479
4,4,558,521,5,749,48,5,690,232,5,1117,586
2,5,976,498,4,552,523
5,5,870,403,4,718,57,4,561,518,5,1075,278,5,64,473
4,5,849,384,5,1042,334,4,559,527,5,712,57
5,5,710,251,5,1056,354,4,562,516,5,376,102,4,712,54
4,5,739,287,5,1207,39,5,1093,204,4,553,524
5,4,731,56,5,747,289,4,559,526,5,83,423,5,66,480
4,4,557,532,5,1010,531,5,1087,150,5,728,58
4,5,851,379,5,1033,358,5,1194,390,5,64,378
