18
2,5,619,334,5,1034,181
3,5,547,174,5,1117,194,5,1010,131
3,5,636,331,5,1035,280,5,1048,373
3,5,612,287,5,1044,246,5,1063,270
3,5,1100,427,5,1001,406,5,645,349
5,5,1049,340,5,497,56,5,1094,78,5,987,330,5,1109,450
3,5,606,274,5,1076,255,5,1042,257
4,5,1036,220,5,601,269,5,1071,255,5,725,551
3,5,1106,431,5,998,412,5,650,346
3,5,608,280,5,1031,171,5,1134,157
5,5,579,230,5,1135,161,5,1026,201,5,291,134,5,360,283
5,5,470,42,5,497,49,5,1028,303,5,1077,247,5,1112,448
3,5,619,297,5,1084,254,5,1039,216
3,5,627,311,5,961,486,5,1079,398
3,5,671,392,5,1019,164,5,978,433
5,5,611,291,5,991,117,5,1112,201,5,990,314,5,813,34
3,5,601,265,5,1033,220,5,1063,270
4,5,1034,288,5,617,297,5,979,439,4,1115,449
