21
5,5,621,209,5,802,307,5,1015,258,5,428,246,5,1119,566
3,5,800,302,5,656,284,5,1022,232
3,5,670,308,5,801,318,5,991,300
3,5,831,368,5,607,158,5,134,100
4,5,700,362,5,804,317,5,728,249,5,828,615
2,5,844,409,5,711,391
4,5,683,321,5,813,334,5,24,114,5,1108,566
2,5,660,291,5,772,237
3,5,709,386,5,817,350,5,1079,396
3,5,803,311,5,709,371,5,1038,216
3,5,378,230,5,698,371,5,897,502
3,5,354,226,5,599,123,5,818,355
3,5,701,367,5,819,352,5,371,232
5,5,696,111,5,663,112,5,618,139,5,646,157,5,633,189
3,5,679,310,5,858,426,5,101,504
3,5,706,367,5,1007,271,5,779,253
5,5,718,391,5,835,386,5,994,297,5,436,246,5,1072,206
3,5,647,280,5,929,446,5,827,368
3,5,1133,23,5,713,395,5,798,303
4,5,1113,566,5,675,313,5,995,308,5,815,333
2,5,644,264,5,778,260
