16
5,5,52,518,4,1088,454,5,472,232,5,624,264,4,225,556
5,5,41,494,4,1108,453,5,1119,230,5,1198,367,5,538,367
5,5,1095,414,5,823,70,5,470,224,5,170,485,5,181,157
5,5,248,329,4,346,400,4,923,425,4,1090,430,4,466,266
4,4,1099,440,4,935,431,4,467,262,5,50,518
5,4,1086,438,4,792,65,4,1060,195,4,917,421,5,466,258
3,4,1068,180,5,74,552,4,248,566
5,5,47,507,4,235,582,4,139,315,4,764,111,4,1078,442
1,5,110,365
5,5,1054,320,4,922,433,4,1098,444,5,464,270,5,549,367
5,5,121,272,5,63,289,5,248,226,5,180,495,5,474,300
5,4,941,440,4,1085,426,5,466,271,5,249,327,5,407,323
5,4,467,305,4,340,402,4,1089,448,4,535,368,4,895,10
5,5,123,294,5,203,68,5,185,514,5,228,576,5,1205,373
5,4,450,43,4,731,96,5,465,275,5,622,257,5,206,65
5,5,1054,475,5,558,359,5,1114,233,5,202,70,5,39,410
